"id_transaction","date_vente","canal_vente","produit_nom","quantite","prix_unitaire","frais_logistique","statut_paiement"
30,"2026-01-10 00:00:00+01","Magasin","Plaquettes de frein",4,"12000.00","0.00","Annulé"
31,"2026-01-08 00:00:00+01","WhatsApp","Batterie 70Ah",1,"45000.00","1798.00","Payé"
32,"2026-03-17 00:00:00+01","Site Web","Pneu Triangle 205/55R16",1,"35000.00","2304.00","Annulé"
33,"2026-03-30 00:00:00+02","Site Web","Plaquettes de frein",1,"12000.00","2647.00","Annulé"
34,"2026-01-23 00:00:00+01","WhatsApp","Plaquettes de frein",4,"12000.00","2347.00","Payé"
35,"2026-03-31 00:00:00+02","Magasin","Batterie 70Ah",4,"45000.00","0.00","En attente"
36,"2026-01-13 00:00:00+01","WhatsApp","Batterie 70Ah",1,"45000.00","1291.00","Payé"
37,"2026-01-31 00:00:00+01","Site Web","Filtre à air",1,"5000.00","1695.00","Annulé"
38,"2026-03-18 00:00:00+01","Magasin","Pneu Triangle 205/55R16",2,"35000.00","0.00","Payé"
39,"2026-01-31 00:00:00+01","WhatsApp","Batterie 70Ah",3,"45000.00","2849.00","Annulé"
40,"2026-01-02 00:00:00+01","Magasin","Pneu Triangle 205/55R16",4,"35000.00","0.00","Annulé"
41,"2026-02-07 00:00:00+01","Site Web","Huile Moteur Total 5L",3,"25000.00","2028.00","Payé"
42,"2026-01-06 00:00:00+01","Site Web","Filtre à air",2,"5000.00","1920.00","Payé"
43,"2026-01-12 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",2,"35000.00","1538.00","En attente"
44,"2026-02-23 00:00:00+01","Site Web","Batterie 70Ah",2,"45000.00","2203.00","En attente"
45,"2026-01-29 00:00:00+01","Site Web","Pneu Triangle 205/55R16",1,"35000.00","2955.00","En attente"
46,"2026-03-18 00:00:00+01","WhatsApp","Huile Moteur Total 5L",2,"25000.00","2856.00","Payé"
47,"2026-02-20 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",4,"35000.00","2636.00","Payé"
48,"2026-01-14 00:00:00+01","WhatsApp","Plaquettes de frein",4,"12000.00","2042.00","Annulé"
49,"2026-03-09 00:00:00+01","Magasin","Batterie 70Ah",2,"45000.00","0.00","En attente"
50,"2026-02-27 00:00:00+01","Magasin","Huile Moteur Total 5L",1,"25000.00","0.00","Annulé"
51,"2026-03-02 00:00:00+01","Site Web","Batterie 70Ah",2,"45000.00","2334.00","Annulé"
52,"2026-01-17 00:00:00+01","Site Web","Batterie 70Ah",2,"45000.00","2498.00","Annulé"
53,"2026-01-23 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",1,"35000.00","2908.00","Annulé"
54,"2026-01-08 00:00:00+01","Magasin","Pneu Triangle 205/55R16",4,"35000.00","0.00","Payé"
55,"2026-01-28 00:00:00+01","Magasin","Huile Moteur Total 5L",3,"25000.00","0.00","En attente"
56,"2026-02-26 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",2,"35000.00","1577.00","Annulé"
57,"2026-03-28 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",4,"35000.00","2426.00","Annulé"
58,"2026-03-18 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",2,"35000.00","1111.00","Annulé"
59,"2026-02-09 00:00:00+01","Magasin","Plaquettes de frein",3,"12000.00","0.00","En attente"
60,"2026-01-27 00:00:00+01","Site Web","Batterie 70Ah",4,"45000.00","2944.00","Annulé"
61,"2026-02-23 00:00:00+01","Site Web","Filtre à air",4,"5000.00","1763.00","Payé"
62,"2026-03-26 00:00:00+01","Magasin","Filtre à air",4,"5000.00","0.00","Payé"
63,"2026-03-23 00:00:00+01","Magasin","Plaquettes de frein",2,"12000.00","0.00","Annulé"
64,"2026-03-14 00:00:00+01","Site Web","Filtre à air",1,"5000.00","1084.00","Payé"
65,"2026-01-06 00:00:00+01","Site Web","Pneu Triangle 205/55R16",4,"35000.00","2116.00","Payé"
66,"2026-02-12 00:00:00+01","WhatsApp","Filtre à air",2,"5000.00","1702.00","Annulé"
67,"2026-02-08 00:00:00+01","Magasin","Pneu Triangle 205/55R16",3,"35000.00","0.00","Payé"
68,"2026-01-16 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",3,"35000.00","2025.00","Payé"
69,"2026-01-09 00:00:00+01","WhatsApp","Batterie 70Ah",3,"45000.00","2812.00","Annulé"
70,"2026-02-21 00:00:00+01","Magasin","Huile Moteur Total 5L",2,"25000.00","0.00","Annulé"
71,"2026-01-28 00:00:00+01","Magasin","Plaquettes de frein",4,"12000.00","0.00","Annulé"
72,"2026-03-25 00:00:00+01","Site Web","Batterie 70Ah",3,"45000.00","2444.00","Payé"
73,"2026-02-15 00:00:00+01","Site Web","Plaquettes de frein",1,"12000.00","1985.00","En attente"
74,"2026-02-05 00:00:00+01","Magasin","Batterie 70Ah",4,"45000.00","0.00","Payé"
75,"2026-01-13 00:00:00+01","WhatsApp","Batterie 70Ah",3,"45000.00","2751.00","En attente"
76,"2026-01-11 00:00:00+01","Site Web","Batterie 70Ah",2,"45000.00","2921.00","En attente"
77,"2026-01-25 00:00:00+01","Magasin","Huile Moteur Total 5L",3,"25000.00","0.00","Payé"
78,"2026-02-03 00:00:00+01","Magasin","Pneu Triangle 205/55R16",2,"35000.00","0.00","Payé"
79,"2026-01-03 00:00:00+01","WhatsApp","Plaquettes de frein",4,"12000.00","1701.00","Annulé"
80,"2026-01-18 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",1,"35000.00","2359.00","Annulé"
81,"2026-02-22 00:00:00+01","Site Web","Filtre à air",3,"5000.00","1264.00","Payé"
82,"2026-01-19 00:00:00+01","WhatsApp","Filtre à air",2,"5000.00","2921.00","En attente"
83,"2026-03-01 00:00:00+01","Site Web","Pneu Triangle 205/55R16",2,"35000.00","2862.00","Annulé"
84,"2026-03-07 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",1,"35000.00","2437.00","Payé"
85,"2026-01-02 00:00:00+01","Magasin","Plaquettes de frein",3,"12000.00","0.00","Annulé"
86,"2026-02-07 00:00:00+01","Site Web","Filtre à air",1,"5000.00","2282.00","Annulé"
87,"2026-01-06 00:00:00+01","Magasin","Huile Moteur Total 5L",3,"25000.00","0.00","Annulé"
88,"2026-02-26 00:00:00+01","WhatsApp","Plaquettes de frein",1,"12000.00","1838.00","Payé"
89,"2026-02-19 00:00:00+01","Magasin","Pneu Triangle 205/55R16",1,"35000.00","0.00","Annulé"
90,"2026-02-14 00:00:00+01","Magasin","Pneu Triangle 205/55R16",2,"35000.00","0.00","Payé"
91,"2026-02-26 00:00:00+01","WhatsApp","Plaquettes de frein",1,"12000.00","1612.00","En attente"
92,"2026-03-20 00:00:00+01","Magasin","Plaquettes de frein",2,"12000.00","0.00","Annulé"
93,"2026-01-28 00:00:00+01","Magasin","Huile Moteur Total 5L",1,"25000.00","0.00","Annulé"
94,"2026-03-26 00:00:00+01","Magasin","Batterie 70Ah",4,"45000.00","0.00","En attente"
95,"2026-02-07 00:00:00+01","WhatsApp","Plaquettes de frein",4,"12000.00","2674.00","Annulé"
96,"2026-02-06 00:00:00+01","WhatsApp","Huile Moteur Total 5L",4,"25000.00","2757.00","Annulé"
97,"2026-02-04 00:00:00+01","Magasin","Huile Moteur Total 5L",1,"25000.00","0.00","En attente"
98,"2026-03-08 00:00:00+01","Site Web","Plaquettes de frein",3,"12000.00","1628.00","En attente"
99,"2026-02-20 00:00:00+01","Magasin","Plaquettes de frein",4,"12000.00","0.00","Payé"
100,"2026-02-10 00:00:00+01","Site Web","Filtre à air",4,"5000.00","1189.00","Annulé"
101,"2026-03-30 00:00:00+02","Magasin","Filtre à air",2,"5000.00","0.00","En attente"
102,"2026-02-13 00:00:00+01","Site Web","Plaquettes de frein",4,"12000.00","2983.00","Payé"
103,"2026-01-31 00:00:00+01","Site Web","Plaquettes de frein",4,"12000.00","2564.00","Annulé"
104,"2026-03-30 00:00:00+02","Magasin","Huile Moteur Total 5L",4,"25000.00","0.00","Payé"
105,"2026-01-25 00:00:00+01","Magasin","Plaquettes de frein",4,"12000.00","0.00","Payé"
106,"2026-02-05 00:00:00+01","Magasin","Pneu Triangle 205/55R16",1,"35000.00","0.00","Payé"
107,"2026-01-26 00:00:00+01","Site Web","Plaquettes de frein",1,"12000.00","2561.00","En attente"
108,"2026-04-01 00:00:00+02","Magasin","Plaquettes de frein",1,"12000.00","0.00","En attente"
109,"2026-02-17 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",1,"35000.00","1791.00","Annulé"
110,"2026-01-27 00:00:00+01","Site Web","Huile Moteur Total 5L",4,"25000.00","2293.00","En attente"
111,"2026-03-24 00:00:00+01","Magasin","Pneu Triangle 205/55R16",2,"35000.00","0.00","Payé"
112,"2026-03-30 00:00:00+02","Magasin","Filtre à air",3,"5000.00","0.00","Annulé"
113,"2026-01-29 00:00:00+01","Magasin","Huile Moteur Total 5L",4,"25000.00","0.00","Payé"
114,"2026-01-28 00:00:00+01","Magasin","Filtre à air",4,"5000.00","0.00","En attente"
115,"2026-01-04 00:00:00+01","WhatsApp","Huile Moteur Total 5L",1,"25000.00","1858.00","En attente"
116,"2026-03-12 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",4,"35000.00","2051.00","En attente"
117,"2026-02-16 00:00:00+01","Magasin","Pneu Triangle 205/55R16",3,"35000.00","0.00","Payé"
118,"2026-03-03 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",2,"35000.00","2516.00","Annulé"
119,"2026-03-11 00:00:00+01","Site Web","Pneu Triangle 205/55R16",1,"35000.00","2958.00","En attente"
120,"2026-01-29 00:00:00+01","Magasin","Plaquettes de frein",4,"12000.00","0.00","En attente"
121,"2026-02-26 00:00:00+01","Site Web","Pneu Triangle 205/55R16",2,"35000.00","2801.00","En attente"
122,"2026-02-01 00:00:00+01","Site Web","Huile Moteur Total 5L",1,"25000.00","1941.00","Payé"
123,"2026-02-16 00:00:00+01","WhatsApp","Filtre à air",1,"5000.00","2336.00","Payé"
124,"2026-03-31 00:00:00+02","Magasin","Huile Moteur Total 5L",1,"25000.00","0.00","En attente"
125,"2026-01-03 00:00:00+01","Magasin","Plaquettes de frein",3,"12000.00","0.00","Annulé"
126,"2026-03-04 00:00:00+01","Magasin","Batterie 70Ah",3,"45000.00","0.00","En attente"
127,"2026-03-26 00:00:00+01","Site Web","Huile Moteur Total 5L",2,"25000.00","2767.00","Annulé"
128,"2026-02-23 00:00:00+01","Magasin","Filtre à air",4,"5000.00","0.00","En attente"
129,"2026-02-25 00:00:00+01","Site Web","Plaquettes de frein",3,"12000.00","1826.00","Annulé"
130,"2026-01-06 00:00:00+01","WhatsApp","Huile Moteur Total 5L",1,"25000.00","1906.00","En attente"
131,"2026-02-20 00:00:00+01","Site Web","Plaquettes de frein",2,"12000.00","2772.00","Payé"
132,"2026-01-05 00:00:00+01","Magasin","Pneu Triangle 205/55R16",2,"35000.00","0.00","En attente"
133,"2026-01-11 00:00:00+01","Site Web","Filtre à air",3,"5000.00","1296.00","Payé"
134,"2026-02-15 00:00:00+01","WhatsApp","Plaquettes de frein",1,"12000.00","2508.00","En attente"
135,"2026-01-12 00:00:00+01","Site Web","Filtre à air",4,"5000.00","1667.00","Annulé"
136,"2026-02-24 00:00:00+01","Site Web","Batterie 70Ah",1,"45000.00","1058.00","En attente"
137,"2026-02-27 00:00:00+01","Magasin","Plaquettes de frein",2,"12000.00","0.00","En attente"
138,"2026-02-10 00:00:00+01","Magasin","Huile Moteur Total 5L",3,"25000.00","0.00","En attente"
139,"2026-01-23 00:00:00+01","WhatsApp","Huile Moteur Total 5L",3,"25000.00","1470.00","Payé"
140,"2026-03-14 00:00:00+01","Magasin","Batterie 70Ah",2,"45000.00","0.00","Payé"
141,"2026-02-02 00:00:00+01","Site Web","Huile Moteur Total 5L",1,"25000.00","2579.00","Payé"
142,"2026-02-24 00:00:00+01","WhatsApp","Filtre à air",4,"5000.00","2552.00","Payé"
143,"2026-01-28 00:00:00+01","Site Web","Pneu Triangle 205/55R16",1,"35000.00","2289.00","En attente"
144,"2026-03-09 00:00:00+01","Magasin","Huile Moteur Total 5L",1,"25000.00","0.00","En attente"
145,"2026-01-08 00:00:00+01","Site Web","Batterie 70Ah",3,"45000.00","2672.00","En attente"
146,"2026-03-21 00:00:00+01","Site Web","Filtre à air",1,"5000.00","1327.00","En attente"
147,"2026-02-21 00:00:00+01","Magasin","Batterie 70Ah",1,"45000.00","0.00","Annulé"
148,"2026-02-02 00:00:00+01","Site Web","Huile Moteur Total 5L",1,"25000.00","2027.00","En attente"
149,"2026-03-27 00:00:00+01","Site Web","Batterie 70Ah",1,"45000.00","2869.00","Annulé"
150,"2026-03-04 00:00:00+01","Magasin","Plaquettes de frein",3,"12000.00","0.00","Payé"
151,"2026-03-14 00:00:00+01","WhatsApp","Huile Moteur Total 5L",1,"25000.00","2838.00","En attente"
152,"2026-03-19 00:00:00+01","Site Web","Plaquettes de frein",3,"12000.00","1450.00","En attente"
153,"2026-03-08 00:00:00+01","Site Web","Huile Moteur Total 5L",2,"25000.00","1915.00","En attente"
154,"2026-02-17 00:00:00+01","WhatsApp","Batterie 70Ah",1,"45000.00","1692.00","Payé"
155,"2026-01-29 00:00:00+01","Magasin","Filtre à air",2,"5000.00","0.00","En attente"
156,"2026-03-08 00:00:00+01","Site Web","Filtre à air",2,"5000.00","2199.00","En attente"
157,"2026-02-21 00:00:00+01","WhatsApp","Batterie 70Ah",4,"45000.00","2040.00","En attente"
158,"2026-03-13 00:00:00+01","Site Web","Batterie 70Ah",4,"45000.00","2829.00","Payé"
159,"2026-02-16 00:00:00+01","Magasin","Plaquettes de frein",2,"12000.00","0.00","Payé"
160,"2026-03-09 00:00:00+01","WhatsApp","Batterie 70Ah",1,"45000.00","2428.00","Payé"
161,"2026-03-09 00:00:00+01","WhatsApp","Huile Moteur Total 5L",4,"25000.00","1242.00","Annulé"
162,"2026-03-22 00:00:00+01","Site Web","Plaquettes de frein",2,"12000.00","2055.00","Payé"
163,"2026-01-13 00:00:00+01","Site Web","Plaquettes de frein",3,"12000.00","2981.00","Annulé"
164,"2026-01-25 00:00:00+01","Site Web","Batterie 70Ah",1,"45000.00","2125.00","Annulé"
165,"2026-02-23 00:00:00+01","WhatsApp","Batterie 70Ah",1,"45000.00","2108.00","Payé"
166,"2026-03-16 00:00:00+01","Magasin","Pneu Triangle 205/55R16",1,"35000.00","0.00","Payé"
167,"2026-03-01 00:00:00+01","Site Web","Pneu Triangle 205/55R16",4,"35000.00","2629.00","Annulé"
168,"2026-02-14 00:00:00+01","Site Web","Huile Moteur Total 5L",3,"25000.00","2777.00","Annulé"
169,"2026-02-05 00:00:00+01","WhatsApp","Filtre à air",4,"5000.00","1712.00","Annulé"
170,"2026-03-11 00:00:00+01","WhatsApp","Batterie 70Ah",1,"45000.00","1594.00","Annulé"
171,"2026-01-30 00:00:00+01","Site Web","Pneu Triangle 205/55R16",4,"35000.00","1464.00","Payé"
172,"2026-01-30 00:00:00+01","Site Web","Batterie 70Ah",1,"45000.00","1677.00","Annulé"
173,"2026-02-04 00:00:00+01","WhatsApp","Filtre à air",3,"5000.00","1261.00","En attente"
174,"2026-01-24 00:00:00+01","Site Web","Filtre à air",2,"5000.00","1776.00","Payé"
175,"2026-02-07 00:00:00+01","WhatsApp","Batterie 70Ah",4,"45000.00","2583.00","Annulé"
176,"2026-02-10 00:00:00+01","Magasin","Batterie 70Ah",3,"45000.00","0.00","En attente"
177,"2026-02-14 00:00:00+01","Site Web","Batterie 70Ah",4,"45000.00","1462.00","En attente"
178,"2026-03-26 00:00:00+01","Magasin","Pneu Triangle 205/55R16",3,"35000.00","0.00","Annulé"
179,"2026-02-01 00:00:00+01","Site Web","Pneu Triangle 205/55R16",2,"35000.00","1899.00","Payé"
180,"2026-03-19 00:00:00+01","Magasin","Plaquettes de frein",1,"12000.00","0.00","Payé"
181,"2026-03-22 00:00:00+01","Site Web","Plaquettes de frein",2,"12000.00","1909.00","Payé"
182,"2026-02-20 00:00:00+01","WhatsApp","Batterie 70Ah",2,"45000.00","2714.00","Payé"
183,"2026-03-12 00:00:00+01","WhatsApp","Filtre à air",1,"5000.00","2068.00","Annulé"
184,"2026-03-18 00:00:00+01","WhatsApp","Huile Moteur Total 5L",4,"25000.00","1060.00","Annulé"
185,"2026-02-11 00:00:00+01","Site Web","Huile Moteur Total 5L",2,"25000.00","1730.00","Annulé"
186,"2026-01-07 00:00:00+01","Magasin","Plaquettes de frein",4,"12000.00","0.00","Payé"
187,"2026-03-08 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",1,"35000.00","1768.00","Annulé"
188,"2026-02-04 00:00:00+01","Magasin","Filtre à air",3,"5000.00","0.00","Annulé"
189,"2026-03-24 00:00:00+01","Site Web","Filtre à air",3,"5000.00","2855.00","En attente"
190,"2026-03-14 00:00:00+01","Magasin","Filtre à air",3,"5000.00","0.00","Annulé"
191,"2026-03-20 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",4,"35000.00","2848.00","Payé"
192,"2026-01-31 00:00:00+01","Site Web","Pneu Triangle 205/55R16",2,"35000.00","2718.00","Payé"
193,"2026-03-19 00:00:00+01","WhatsApp","Plaquettes de frein",3,"12000.00","2914.00","En attente"
194,"2026-03-27 00:00:00+01","Magasin","Plaquettes de frein",2,"12000.00","0.00","Annulé"
195,"2026-03-22 00:00:00+01","Magasin","Filtre à air",4,"5000.00","0.00","En attente"
196,"2026-02-12 00:00:00+01","WhatsApp","Filtre à air",3,"5000.00","1602.00","Payé"
197,"2026-03-21 00:00:00+01","Site Web","Huile Moteur Total 5L",2,"25000.00","1015.00","Annulé"
198,"2026-01-01 00:00:00+01","Site Web","Pneu Triangle 205/55R16",1,"35000.00","2315.00","Annulé"
199,"2026-01-27 00:00:00+01","WhatsApp","Batterie 70Ah",3,"45000.00","2985.00","Annulé"
200,"2026-01-12 00:00:00+01","Site Web","Plaquettes de frein",1,"12000.00","1421.00","En attente"
